iter	Passed	Remaining
0	1	103
1	1	89
2	2	84
3	3	77
4	3	75
5	4	74
6	5	72
7	6	71
8	7	70
9	7	70
10	8	70
11	9	69
12	10	68
13	11	67
14	11	67
15	12	66
16	13	65
17	14	64
18	14	63
19	15	62
20	16	61
21	17	61
22	18	60
23	18	59
24	19	58
25	20	57
26	21	56
27	22	57
28	23	57
29	24	56
30	25	56
31	25	55
32	26	54
33	27	53
34	28	52
35	28	51
36	29	50
37	30	49
38	31	48
39	31	47
40	32	47
41	33	45
42	33	44
43	34	43
44	35	43
45	36	42
46	37	42
47	38	41
48	39	40
49	39	39
50	40	39
51	41	38
52	42	37
53	43	36
54	43	35
55	44	34
56	45	34
57	45	33
58	46	32
59	47	31
60	48	30
61	49	30
62	50	29
63	51	28
64	52	28
65	52	27
66	53	26
67	54	25
68	55	24
69	56	24
70	56	23
71	57	22
72	58	21
73	59	20
74	60	20
75	61	19
76	62	18
77	62	17
78	64	17
79	65	16
80	66	15
81	67	14
82	68	13
83	69	13
84	69	12
85	70	11
86	71	10
87	72	9
88	73	9
89	74	8
90	75	7
91	76	6
92	77	5
93	78	4
94	78	4
95	79	3
96	80	2
97	81	1
98	82	0
99	83	0
