iter	Passed	Remaining
0	139	138912
1	141	70377
2	142	47378
3	144	35867
4	145	28878
5	146	24214
6	147	20884
7	148	18383
8	149	16436
9	150	14891
10	151	13627
11	152	12567
12	153	11669
13	156	11014
14	158	10403
15	160	9885
16	161	9359
17	163	8892
18	164	8470
19	165	8090
20	166	7747
21	167	7431
22	168	7150
23	169	6888
24	171	6677
25	172	6455
26	173	6243
27	174	6046
28	175	5860
29	175	5687
30	176	5525
31	177	5373
32	178	5230
33	179	5096
34	180	4969
35	181	4851
36	182	4737
37	182	4630
38	184	4554
39	186	4466
40	187	4377
41	188	4290
42	189	4207
43	189	4127
44	190	4051
45	191	3978
46	192	3908
47	193	3841
48	194	3777
49	195	3715
50	196	3656
51	198	3614
52	199	3563
53	200	3516
54	201	3465
55	202	3415
56	203	3368
57	204	3322
58	205	3280
59	206	3236
60	207	3194
61	208	3153
62	209	3113
63	210	3074
64	211	3036
65	212	3001
66	213	2969
67	214	2939
68	215	2906
69	216	2873
70	217	2842
71	218	2811
72	219	2781
73	219	2752
74	220	2724
75	221	2696
76	222	2670
77	223	2644
78	224	2618
79	225	2594
80	226	2569
81	227	2546
82	227	2518
83	229	2498
84	230	2476
85	231	2455
86	231	2433
87	232	2412
88	233	2391
89	234	2371
90	235	2351
91	236	2332
92	237	2314
93	238	2295
94	239	2279
95	240	2261
96	241	2244
97	241	2227
98	243	2214
99	244	2200
100	245	2184
101	246	2169
102	247	2153
103	248	2138
104	249	2123
105	250	2108
106	250	2093
107	251	2079
108	252	2067
109	253	2054
110	254	2040
111	255	2027
112	256	2014
113	257	2002
114	258	1991
115	259	1979
116	260	1967
117	261	1955
118	262	1943
119	263	1931
120	264	1920
121	264	1907
122	265	1895
123	266	1885
124	267	1874
125	268	1863
126	269	1851
127	270	1840
128	271	1830
129	271	1820
130	273	1813
131	274	1805
132	275	1796
133	276	1786
134	277	1777
135	278	1767
136	279	1759
137	280	1750
138	281	1743
139	282	1734
140	283	1725
141	283	1714
142	284	1705
143	285	1697
144	286	1689
145	287	1680
146	288	1675
147	289	1667
148	290	1660
149	291	1652
150	292	1645
151	293	1637
152	294	1629
153	295	1622
154	296	1615
155	297	1608
156	298	1601
157	299	1593
158	300	1586
159	300	1580
160	301	1571
161	302	1564
162	303	1559
163	305	1556
164	306	1549
165	307	1543
166	308	1537
167	309	1530
168	310	1525
169	311	1519
170	312	1512
171	312	1506
172	313	1500
173	314	1494
174	315	1487
175	316	1481
176	317	1476
177	318	1472
178	319	1466
179	320	1461
180	321	1455
181	322	1450
182	323	1444
183	324	1439
184	325	1433
185	326	1428
186	327	1422
187	328	1417
188	328	1411
189	329	1406
190	330	1400
191	331	1395
192	332	1390
193	333	1387
194	335	1383
195	336	1378
196	337	1374
197	338	1369
198	339	1364
199	340	1360
200	340	1355
201	341	1350
202	342	1345
203	343	1341
204	344	1336
205	345	1332
206	346	1327
207	347	1323
208	348	1319
209	349	1315
210	350	1311
211	351	1307
212	352	1303
213	353	1299
214	354	1294
215	355	1290
216	356	1286
217	357	1281
218	358	1277
219	359	1273
220	360	1269
221	361	1265
222	361	1261
223	363	1259
224	364	1255
225	365	1251
226	366	1247
227	367	1243
228	368	1239
229	369	1235
230	370	1232
231	371	1229
232	372	1225
233	373	1222
234	374	1218
235	375	1214
236	376	1211
237	377	1207
238	379	1209
239	381	1207
240	382	1204
241	383	1200
242	384	1197
243	385	1193
244	386	1190
245	387	1186
246	388	1183
247	389	1179
248	390	1176
249	390	1172
250	391	1169
251	393	1166
252	394	1163
253	395	1161
254	396	1158
255	397	1155
256	398	1152
257	399	1149
258	400	1146
259	401	1142
260	402	1139
261	403	1136
262	404	1133
263	405	1130
264	406	1127
265	407	1123
266	408	1122
267	409	1119
268	410	1116
269	411	1113
270	412	1110
271	413	1107
272	414	1103
273	415	1100
274	416	1097
275	417	1094
276	418	1091
277	419	1088
278	420	1087
279	422	1085
280	424	1085
281	425	1083
282	426	1081
283	428	1079
284	429	1077
285	430	1075
286	431	1072
287	432	1069
288	433	1067
289	435	1065
290	435	1062
291	436	1059
292	438	1057
293	439	1055
294	440	1052
295	441	1050
296	442	1047
297	443	1044
298	444	1041
299	445	1039
300	446	1036
301	447	1033
302	448	1030
303	449	1028
304	450	1025
305	450	1022
306	451	1019
307	452	1017
308	454	1015
309	455	1013
310	456	1010
311	457	1008
312	458	1005
313	459	1003
314	460	1000
315	460	997
316	462	995
317	463	993
318	464	990
319	465	988
320	465	985
321	466	983
322	468	981
323	469	978
324	470	976
325	471	974
326	472	972
327	473	971
328	475	969
329	476	967
330	477	965
331	478	962
332	479	960
333	480	957
334	481	955
335	482	952
336	484	953
337	485	951
338	486	949
339	487	947
340	489	945
341	491	945
342	493	945
343	495	945
344	500	949
345	501	948
346	502	946
347	503	944
348	505	943
349	506	941
350	507	939
351	509	937
352	509	934
353	510	932
354	513	932
355	514	931
356	557	1004
357	559	1002
358	560	1000
359	602	1070
360	603	1068
361	604	1065
